n_qubits,mean_fidelity,std_fidelity,mean_runtime,std_runtime
1,0.5494261436230728,0.2595101082569251,0.00020548105239868165,0.0005842677851812702
2,0.2463156754479959,0.1865460732907499,6.074905395507813e-05,2.4825385352376955e-05
3,0.11634337924582554,0.13253221821336444,6.271600723266602e-05,3.551432408357997e-05
4,0.050063032156534085,0.05093643257032081,6.852149963378906e-05,2.2023915437948704e-05
5,0.03527497056511193,0.028479961272122902,0.00013626813888549804,0.0001789302840789026
